== MiniMind-Embedding 训练 (stage2, embed_dense_64m) ==
[load_pretrained_backbone] 已加载 /root/minimind-embeddings/checkpoints/embedding/embedding_stage1_768.pth
  完整加载: 93 个参数
  部分加载: 0 个(vocab 扩展,前 6400 行已拷贝)
  跳过:     0 个(embedding 模型忽略 lm_head / rerank 缺 head 属正常)
参数量: 64.5M
[HFEmbeddingDataset] 加载 sentence-transformers/t2ranking (config=triplet-15) split=train ...
[HFEmbeddingDataset] 共 340111 条
总步数: 63768, batch=16, accum=1
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: qinganli (qinganli-personal) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run w6li4xpj
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /root/minimind-embeddings/wandb/run-20260728_122846-w6li4xpj
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run cloud_stage2_FINAL_batch16_w128
wandb: ⭐️ View project at https://wandb.ai/qinganli-personal/minimind-embedding
wandb: 🚀 View run at https://wandb.ai/qinganli-personal/minimind-embedding/runs/w6li4xpj
[wandb] 已启用,project=minimind-embedding run=cloud_stage2_FINAL_batch16_w128
epoch 0 step 21000/63768 loss 1.2387 lr 7.80e-06
epoch 0 step 21100/63768 loss 1.2566 lr 7.78e-06
epoch 0 step 21200/63768 loss 1.2190 lr 7.76e-06
epoch 1 step 21300/63768 loss 1.1972 lr 7.74e-06
epoch 1 step 21400/63768 loss 1.0925 lr 7.72e-06
epoch 1 step 21500/63768 loss 1.0866 lr 7.70e-06
epoch 1 step 21600/63768 loss 1.1034 lr 7.68e-06
epoch 1 step 21700/63768 loss 1.0308 lr 7.66e-06
epoch 1 step 21800/63768 loss 1.0834 lr 7.64e-06
epoch 1 step 21900/63768 loss 1.1192 lr 7.63e-06
epoch 1 step 22000/63768 loss 1.0961 lr 7.61e-06
epoch 1 step 22100/63768 loss 1.1540 lr 7.59e-06
epoch 1 step 22200/63768 loss 1.1259 lr 7.57e-06
epoch 1 step 22300/63768 loss 1.0452 lr 7.55e-06
epoch 1 step 22400/63768 loss 1.1037 lr 7.53e-06
epoch 1 step 22500/63768 loss 1.0648 lr 7.51e-06
epoch 1 step 22600/63768 loss 1.0865 lr 7.49e-06
epoch 1 step 22700/63768 loss 1.0750 lr 7.47e-06
epoch 1 step 22800/63768 loss 1.0998 lr 7.45e-06
epoch 1 step 22900/63768 loss 1.0448 lr 7.43e-06
epoch 1 step 23000/63768 loss 1.0418 lr 7.41e-06
epoch 1 step 23100/63768 loss 1.0724 lr 7.39e-06
epoch 1 step 23200/63768 loss 1.0598 lr 7.37e-06
epoch 1 step 23300/63768 loss 1.0905 lr 7.35e-06
epoch 1 step 23400/63768 loss 1.0646 lr 7.33e-06
epoch 1 step 23500/63768 loss 1.1032 lr 7.31e-06
epoch 1 step 23600/63768 loss 1.0583 lr 7.29e-06
epoch 1 step 23700/63768 loss 1.1202 lr 7.27e-06
epoch 1 step 23800/63768 loss 1.1111 lr 7.25e-06
epoch 1 step 23900/63768 loss 1.1248 lr 7.22e-06
epoch 1 step 24000/63768 loss 1.0969 lr 7.20e-06
[save] checkpoints/embedding/embedding_stage2_768_step24000.pth + latest -> checkpoints/embedding/embedding_stage2_768.pth
epoch 1 step 24100/63768 loss 1.0848 lr 7.18e-06
epoch 1 step 24200/63768 loss 1.0510 lr 7.16e-06
epoch 1 step 24300/63768 loss 1.0752 lr 7.14e-06
epoch 1 step 24400/63768 loss 1.0728 lr 7.12e-06
epoch 1 step 24500/63768 loss 1.0755 lr 7.10e-06
epoch 1 step 24600/63768 loss 1.0698 lr 7.08e-06
epoch 1 step 24700/63768 loss 1.0572 lr 7.06e-06
epoch 1 step 24800/63768 loss 1.0661 lr 7.04e-06
epoch 1 step 24900/63768 loss 1.1091 lr 7.02e-06
epoch 1 step 25000/63768 loss 1.1168 lr 7.00e-06
epoch 1 step 25100/63768 loss 1.0736 lr 6.98e-06
epoch 1 step 25200/63768 loss 1.1423 lr 6.96e-06
epoch 1 step 25300/63768 loss 1.0890 lr 6.93e-06
epoch 1 step 25400/63768 loss 1.0737 lr 6.91e-06
epoch 1 step 25500/63768 loss 1.0832 lr 6.89e-06
epoch 1 step 25600/63768 loss 1.1288 lr 6.87e-06
epoch 1 step 25700/63768 loss 1.0642 lr 6.85e-06
epoch 1 step 25800/63768 loss 1.1078 lr 6.83e-06
epoch 1 step 25900/63768 loss 1.1021 lr 6.81e-06
epoch 1 step 26000/63768 loss 1.0863 lr 6.79e-06
epoch 1 step 26100/63768 loss 1.0705 lr 6.77e-06
epoch 1 step 26200/63768 loss 1.1082 lr 6.74e-06
epoch 1 step 26300/63768 loss 1.0490 lr 6.72e-06
epoch 1 step 26400/63768 loss 1.0639 lr 6.70e-06
epoch 1 step 26500/63768 loss 1.0645 lr 6.68e-06
epoch 1 step 26600/63768 loss 1.1449 lr 6.66e-06
epoch 1 step 26700/63768 loss 1.0407 lr 6.64e-06
epoch 1 step 26800/63768 loss 1.0377 lr 6.62e-06
epoch 1 step 26900/63768 loss 1.0779 lr 6.59e-06
epoch 1 step 27000/63768 loss 0.9774 lr 6.57e-06
epoch 1 step 27100/63768 loss 1.1020 lr 6.55e-06
epoch 1 step 27200/63768 loss 1.0626 lr 6.53e-06
epoch 1 step 27300/63768 loss 1.0257 lr 6.51e-06
epoch 1 step 27400/63768 loss 1.0104 lr 6.49e-06
epoch 1 step 27500/63768 loss 1.1108 lr 6.46e-06
epoch 1 step 27600/63768 loss 1.0946 lr 6.44e-06
epoch 1 step 27700/63768 loss 1.0857 lr 6.42e-06
epoch 1 step 27800/63768 loss 1.0649 lr 6.40e-06
epoch 1 step 27900/63768 loss 1.1098 lr 6.38e-06
epoch 1 step 28000/63768 loss 1.0780 lr 6.36e-06
[save] checkpoints/embedding/embedding_stage2_768_step28000.pth + latest -> checkpoints/embedding/embedding_stage2_768.pth
epoch 1 step 28100/63768 loss 1.0414 lr 6.33e-06
epoch 1 step 28200/63768 loss 1.1263 lr 6.31e-06
epoch 1 step 28300/63768 loss 1.0951 lr 6.29e-06
epoch 1 step 28400/63768 loss 1.0503 lr 6.27e-06
epoch 1 step 28500/63768 loss 1.0679 lr 6.25e-06
epoch 1 step 28600/63768 loss 1.1424 lr 6.23e-06
epoch 1 step 28700/63768 loss 1.0286 lr 6.20e-06
epoch 1 step 28800/63768 loss 1.0394 lr 6.18e-06
epoch 1 step 28900/63768 loss 1.0663 lr 6.16e-06
epoch 1 step 29000/63768 loss 1.0802 lr 6.14e-06
epoch 1 step 29100/63768 loss 1.0529 lr 6.12e-06
epoch 1 step 29200/63768 loss 1.0544 lr 6.09e-06
epoch 1 step 29300/63768 loss 1.0679 lr 6.07e-06
epoch 1 step 29400/63768 loss 1.0307 lr 6.05e-06
epoch 1 step 29500/63768 loss 1.0437 lr 6.03e-06
epoch 1 step 29600/63768 loss 1.0966 lr 6.01e-06
epoch 1 step 29700/63768 loss 1.0649 lr 5.98e-06
epoch 1 step 29800/63768 loss 1.0445 lr 5.96e-06
epoch 1 step 29900/63768 loss 1.0156 lr 5.94e-06
epoch 1 step 30000/63768 loss 1.0949 lr 5.92e-06
epoch 1 step 30100/63768 loss 1.0425 lr 5.90e-06
epoch 1 step 30200/63768 loss 1.0249 lr 5.87e-06
epoch 1 step 30300/63768 loss 1.0930 lr 5.85e-06
epoch 1 step 30400/63768 loss 1.0083 lr 5.83e-06
epoch 1 step 30500/63768 loss 1.1088 lr 5.81e-06
epoch 1 step 30600/63768 loss 1.0441 lr 5.78e-06
epoch 1 step 30700/63768 loss 1.0456 lr 5.76e-06
epoch 1 step 30800/63768 loss 1.0412 lr 5.74e-06
epoch 1 step 30900/63768 loss 1.0666 lr 5.72e-06
epoch 1 step 31000/63768 loss 1.0269 lr 5.70e-06
epoch 1 step 31100/63768 loss 1.0970 lr 5.67e-06
epoch 1 step 31200/63768 loss 1.0813 lr 5.65e-06
epoch 1 step 31300/63768 loss 1.0695 lr 5.63e-06
epoch 1 step 31400/63768 loss 0.9572 lr 5.61e-06
epoch 1 step 31500/63768 loss 1.0594 lr 5.59e-06
epoch 1 step 31600/63768 loss 1.0313 lr 5.56e-06
epoch 1 step 31700/63768 loss 1.0008 lr 5.54e-06
epoch 1 step 31800/63768 loss 1.0459 lr 5.52e-06
epoch 1 step 31900/63768 loss 1.0373 lr 5.50e-06
